DATE,MONTH,TIME,TYPE OF EMR (CATEGORY),INVOLVED,LOCATION,DISTRICT ,LATITUDE (degrees),LONGTITUDE (decimal),LATITUDE (decimal),LONGTITUDE (decimal)
"May 15, 2022",May 2022,7:35:00 AM,Vehicular / Road Traffic Accident,Motorcycle (Loss of Control),Adriatico cor. Alonzo,District 5," 14°33'58.31""N","120°59'10.80""E",14.566197,120.986333
"May 16, 2022",May 2022,6:08:00 AM,Vehicular / Road Traffic Accident,Motorcycle (Loss of Control),in front of SOGO Malate,District 5," 14°33'52.51""N","120°59'38.94""E",14.564586,120.99415
"May 16, 2022",May 2022,9:36:00 AM,Vehicular / Road Traffic Accident,Motorcycle (Loss of Control),La Salle Taft ,District 5," 14°35'45.10""N","120°58'2.78""E",14.595861,120.967439
"May 20, 2022",May 2022,8:43:00 AM,Vehicular / Road Traffic Accident,Motorcycle (Loss of Control),DELPAN BRIDGE,District 3," 14°35'10.36""N","120°58'58.34""E",14.586211,120.982872
"May 20, 2022",May 2022,6:50:00 AM,Vehicular / Road Traffic Accident,Motorcycle (Loss of Control),TAFT AVE. COR. AYALA BLVD,District 5," 14°36'7.30""N","120°59'34.13""E",14.602028,120.992814
"May 21, 2022",May 2022,9:16:00 AM,Vehicular / Road Traffic Accident,Motorcycle (Loss of Control),Bustillos sampaloc manila,District 4," 14°35'40.10""N","121° 1'29.38""E",14.594472,121.024828
"May 22, 2022",May 2022,11:10:00 AM,Vehicular / Road Traffic Accident,Motorcycle vs Pedestrian," P. Sanchez St. Near Shakeys, Sta. Mesa Manila",District 6," 14°35'27.94""N","120°59'55.41""E",14.591094,120.998725
"May 22, 2022",May 2022,8:57:00 PM,Vehicular / Road Traffic Accident,Motorcycle vs Sedan,infront of Landers Otis Manila,District 6," 14°34'46.90""N","120°59'8.39""E",14.579694,120.985664
"May 25, 2022",May 2022,6:25:00 PM,Vehicular / Road Traffic Accident,Motorcycle vs Motorcycle,Padre Faura Infront of supreme court,District 5," 14°33'49.73""N","120°59'51.10""E",14.563814,120.997528
"May 26, 2022",May 2022,12:33:00 PM,Vehicular / Road Traffic Accident,Motorcycle (Loss of Control),P.Ocampo Singalong,District 5," 14°35'42.64""N","120°58'44.70""E",14.595178,120.979083
"May 27, 2022",May 2022,10:40:00 AM,Vehicular / Road Traffic Accident,PUV vs Pedestrian,Lawton infront of Post Office Manila,District 5," 14°34'24.70""N","120°59'38.36""E",14.573528,120.993989
"May 27, 2022",May 2022,4:10:00 PM,Vehicular / Road Traffic Accident,Motorcycle vs SUV,Singalong St. Near Quirino Ave. Malate Manila,District 5," 14°35'50.51""N","120°59'2.10""E",14.597364,120.983917
"May 28, 2022",May 2022,5:55:00 PM,Vehicular / Road Traffic Accident,Motorcycle (Loss of Control),quezon blvd south bound,District 3," 14°33'51.92""N","120°59'5.56""E",14.564422,120.984878
"May 31, 2022",May 2022,6:14:00 PM,Vehicular / Road Traffic Accident,Motorcycle (Loss of Control),roxas blvd.cor quirino,District 5," 14°36'5.01""N","121° 0'8.54""E",14.601392,121.002372
"Jun 3, 2022",June 2022,6:26:00 PM,Vehicular / Road Traffic Accident,Motorcycle vs PUJ,Ramon Magsaysay Blvd. Westbound near Vicente Cruz St. Sampaloc Manila,District 4," 14°35'55.46""N","120°58'31.88""E",14.598739,120.975522
"Jun 4, 2022",June 2022,1:02:00 AM,Vehicular / Road Traffic Accident,Motorcycle (Loss of Control),quintin paredes binondo,District 3," 14°36'51.30""N","120°59'3.09""E",14.61425,120.984192
"Jun 8, 2022",June 2022,8:47:00 AM,Vehicular / Road Traffic Accident,Motorcycle (Loss of Control),Felix huertas tayuman,District 1," 14°34'33.71""N","120°59'45.88""E",14.576031,120.996078
"Jun 10, 2022",June 2022,6:10:00 PM,Vehicular / Road Traffic Accident,Motorcycle vs PUV,Quirino extn Cor. Paz,District 5," 14°34'7.02""N","120°58'59.48""E",14.568617,120.983189
"Jun 12, 2022",June 2022,10:53:00 AM,Vehicular / Road Traffic Accident,Motorcycle vs Pedestrian,Roxas Boulevard South Bound,District 5," 14°34'7.02""N","120°58'59.48""E",14.568617,120.983189
"Jun 13, 2022",June 2022,2:33:00 AM,Vehicular / Road Traffic Accident,Motorcycle (Loss of Control),Roxas Blvd,District 5," 14°36'12.76""N","121° 1'0.24""E",14.603544,121.016733
"Jun 14, 2022",June 2022,10:09:00 PM,Vehicular / Road Traffic Accident,Motorcycle vs SUV, magsaysay ave. north bound,District 6," 14°34'46.04""N","121° 0'48.28""E",14.579456,121.013411
"Jun 15, 2022",June 2022,12:51:00 AM,Vehicular / Road Traffic Accident,Motorcycle vs PUV, sikya st cor Calderon Santa ana manila.,District 6," 14°36'42.57""N","120°59'10.88""E",14.611825,120.986356
"Jun 16, 2022",June 2022,1:39:00 PM,Vehicular / Road Traffic Accident,Motorcycle vs Ebike/Bike, A mendoza corner laon laan road,District 4," 14°34'11.61""N","120°58'57.35""E",14.569892,120.982597
"Jun 17, 2022",June 2022,11:40:00 PM,Vehicular / Road Traffic Accident,Motorcycle vs Taxi,Roxas Blvd.,District 5," 14°37'12.91""N","120°59'20.24""E",14.620253,120.988956
"Jun 20, 2022",June 2022,8:32:00 PM,Vehicular / Road Traffic Accident,Motorcycle (Loss of Control),Dimasalang rd. Sampaloc,District 4," 14°37'15.35""N","120°58'40.88""E",14.620931,120.978022
"Jun 21, 2022",June 2022,3:12:00 PM,Vehicular / Road Traffic Accident,Motorcycle vs Tricycle,Abad Santos cor. Batangas St.,District 3," 14°34'31.23""N","120°59'11.53""E",14.575342,120.986536
"Jun 22, 2022",June 2022,11:12:00 PM,Vehicular / Road Traffic Accident,Motorcycle vs Motorcycle,Pedro gil,District 5," 14°37'3.90""N","120°58'18.47""E",14.61775,120.971797
"Jun 23, 2022",June 2022,3:08:00 AM,Vehicular / Road Traffic Accident,Motorcycle (Loss of Control),Tayuman st infront of Rizal Elementary School ,District 1," 14°34'36.53""N","120°59'23.24""E",14.576814,120.973122
"Jun 23, 2022",June 2022,12:53:00 AM,Vehicular / Road Traffic Accident,Motorcycle vs Motorcycle,Pedro Gil. St. Cor. Agoncillo St. Malate Manila,District 5," 14°34'6.16""N","120°58'59.73""E",14.568378,120.983258
"Jun 26, 2022",June 2022,9:12:00 PM,Vehicular / Road Traffic Accident,Motorcycle vs Motorcycle,roxas blvd,District 5," 14°35'51.25""N","121° 1'7.93""E",14.597569,121.018869
"Jun 27, 2022",June 2022,10:07:00 PM,Vehicular / Road Traffic Accident,Motorcycle (Loss of Control),infront of Amaia Sky Bacood Sta. Mesa,District 6," 14°35'20.85""N","120°58'51.48""E",14.589125,120.980967
"Jun 28, 2022",June 2022,10:34:00 PM,Vehicular / Road Traffic Accident,Bicycle (Loss of Control),lagusnilad,District 5," 14°37'43.49""N","120°57'54.52""E",14.628747,120.965144
"Jun 28, 2022",June 2022,3:25:00 PM,Vehicular / Road Traffic Accident,Motorcycle vs Tricycle,H.Lopez tondo,District 2," 14°33'59.41""N","121° 0'9.71""E",14.566503,121.002697
"Jul 4, 2022",July 2022,11:35:00 PM,Vehicular / Road Traffic Accident,Motorcycle (Loss of Control),Osmeña h-way cor. P. Ocampo,District 5," 14°34'5.72""N","120°58'59.48""E",14.568256,120.983189
"Jul 5, 2022",July 2022,9:03:00 AM,Vehicular / Road Traffic Accident,Motorcycle (Loss of Control),Roxas Blvd. Southbound,District 5," 14°35'53.99""N","120°59'1.19""E",14.598331,120.983664
"Jul 5, 2022",July 2022,6:57:00 PM,Vehicular / Road Traffic Accident,Bicycle (Loss of Control),Quiapo Church,District 3," 14°35'46.28""N","120°58'58.79""E",14.596189,120.982997
"Jul 6, 2022",July 2022,8:00:00 AM,Vehicular / Road Traffic Accident,Pedicab (Loss of Control),Quezon Bridge Northbound,District 5," 14°36'0.38""N","121° 1'0.05""E",14.600106,121.016681
"Jul 7, 2022",July 2022,8:01:00 AM,Vehicular / Road Traffic Accident,Motorcycle vs Motorcycle,V. Mapa,District 6," 14°34'12.98""N","120°59'29.25""E",14.570272,120.991458
"Jul 8, 2022",July 2022,8:18:00 AM,Vehicular / Road Traffic Accident,Motorcycle vs Close Van,Taft Ave Cor Quirino Ave,District 5," 14°36'57.09""N","120°59'42.17""E",14.615858,120.995047
"Jul 8, 2022",July 2022,6:16:00 PM,Vehicular / Road Traffic Accident,Motorcycle (Loss of Control),P.Margal ,District 5," 14°36'54.97""N","120°59'24.11""E",14.615269,120.990031
"Jul 9, 2022",July 2022,6:59:00 AM,Vehicular / Road Traffic Accident,Motorcycle (Loss of Control),laon laan sampaloc,District 4," 14°37'3.19""N","120°58'11.34""E",14.617553,120.969817
"Jul 12, 2022",July 2022,11:25:00 AM,Vehicular / Road Traffic Accident,Motorcycle (Loss of Control),Herbosa st. (Pritil Public Market),District 1," 14°35'22.43""N","120°59'51.11""E",14.589564,120.997531
"Jul 12, 2022",July 2022,6:12:00 PM,Vehicular / Road Traffic Accident,Motorcycle vs Pedestrian,"Otis , Paco, Manila in front of Mitsubishi Motor",District 5," 14°33'36.73""N","120°59'37.42""E",14.560203,120.993728
"Jul 12, 2022",July 2022,6:23:00 PM,Vehicular / Road Traffic Accident,Motorcycle (Loss of Control),Leveriza cor. Quirino Ave.,District 5," 14°35'46.92""N","120°58'59.45""E",14.596367,120.983181
"Jul 12, 2022",July 2022,6:45:00 PM,Vehicular / Road Traffic Accident,Motorcycle vs Ebike/Bike,Quezon Bridge,District 5," 14°35'16.46""N","120°58'21.42""E",14.587906,120.972617
"Jul 13, 2022",July 2022,3:34:00 PM,Vehicular / Road Traffic Accident,Motorcycle (Loss of Control),Port Area (In Front of DPWH),District 5," 14°35'6.68""N","120°58'46.05""E",14.585189,120.979458
"Jul 13, 2022",July 2022,7:28:00 PM,Vehicular / Road Traffic Accident,Motorcycle vs Close Van,Maria Orosa corner Padre Burgos,District 5," 14°37'11.47""N","120°57'50.00""E",14.619853,120.963889
"Jul 14, 2022",July 2022,5:13:00 AM,Vehicular / Road Traffic Accident,Motorcycle vs Motorcycle,Capulong St. Tondo Manila (in front of I.N.C),District 1," 14°37'18.57""N","120°57'36.04""E",14.621825,120.960011
"Jul 15, 2022",July 2022,4:26:00 PM,Vehicular / Road Traffic Accident,Motorcycle vs Motorcycle,Along M. Lopez Blvd. Brgy. 105 Northbound,District 1," 14°33'59.30""N","121° 0'11.00""E",14.566472,121.003056
